,lnps-10-org-obj,lnps-10-nrm-obj,lnps-10-obj,lnps-10-diff,lnps-10-freq,lnps-30-org-obj,lnps-30-nrm-obj,lnps-30-obj,lnps-30-diff,lnps-30-freq,lnps-60-org-obj,lnps-60-nrm-obj,lnps-60-obj,lnps-60-diff,lnps-60-freq,mp-is-p-hi-org-obj,mp-is-p-hi-nrm-obj,mp-is-p-hi-obj,mp-is-p-hi-diff,mp-is-p-hi-freq,mp-is-p-low-org-obj,mp-is-p-low-nrm-obj,mp-is-p-low-obj,mp-is-p-low-diff,mp-is-p-low-freq,mp-is-p-mid-org-obj,mp-is-p-mid-nrm-obj,mp-is-p-mid-obj,mp-is-p-mid-diff,mp-is-p-mid-freq,mp-p-hi-org-obj,mp-p-hi-nrm-obj,mp-p-hi-obj,mp-p-hi-diff,mp-p-hi-freq,mp-p-low-org-obj,mp-p-low-nrm-obj,mp-p-low-obj,mp-p-low-diff,mp-p-low-freq,mp-p-mid-org-obj,mp-p-mid-nrm-obj,mp-p-mid-obj,mp-p-mid-diff,mp-p-mid-freq
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s8,2 273 6293 970 92 5803 74,0.0 0.0 1.0 0.0815450643776824 0.0 1.0 0.0,10091.545064377682,0.0,4786,10 319 4668 1184 141 5092 86,1.0 0.8214285714285714 0.4463373083475298 1.0 0.9245283018867925 0.12653562653562653 0.8571428571428571,1087700.8055556435,0.0,4370,9 329 4683 1169 145 5070 87,0.875 1.0 0.4514480408858603 0.9356223175965666 1.0 0.09950859950859951 0.9285714285714286,980552.0263838788,0.0,4036,10 305 3358 952 134 4989 88,1.0 0.5714285714285714 0.0 0.004291845493562232 0.7924528301886793 0.0 1.0,1057227.3942713696,0.0,4537,10 305 3358 952 134 4989 88,1.0 0.5714285714285714 0.0 0.004291845493562232 0.7924528301886793 0.0 1.0,1057227.3942713696,0.0,4537,10 305 3376 966 130 4997 78,1.0 0.5714285714285714 0.006132879045996593 0.06437768240343347 0.7169811320754716 0.009828009828009828 0.2857142857142857,1057340.6457233122,0.0,4470,10 305 3358 951 134 4989 88,1.0 0.5714285714285714 0.0 0.0 0.7924528301886793 0.0 1.0,1057223.102425876,0.0,4538,10 305 3358 951 134 4989 88,1.0 0.5714285714285714 0.0 0.0 0.7924528301886793 0.0 1.0,1057223.102425876,0.0,4538,10 305 3358 951 134 4989 88,1.0 0.5714285714285714 0.0 0.0 0.7924528301886793 0.0 1.0,1057223.102425876,0.0,4538
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s5,0 0 636 8478 9 2968 -53,0.0 0.0 0.2965779467680608 0.6701816051552432 0.4 0.5054151624548736 0.25157232704402516,3681.266796787444,0.0,915,0 0 1006 11856 1 3927 -93,0.0 0.0 1.0 1.0 0.0 1.0 0.0,11010.0,0.0,343,0 0 562 1614 21 2063 66,0.0 0.0 0.155893536121673 0.0 1.0 0.038679731820526045 1.0,1660.3221585349354,0.0,5890,0 0 483 2650 18 1988 64,0.0 0.0 0.005703422053231939 0.10115211872681117 0.85 0.0 0.9874213836477987,244.17376064277835,0.0,5284,0 0 502 2679 13 2073 53,0.0 0.0 0.04182509505703422 0.10398359695371998 0.6 0.043837029396596186 0.9182389937106918,583.5911568117389,0.0,5177,0 0 651 4743 8 2493 34,0.0 0.0 0.32509505703422054 0.30550673696543645 0.35 0.26044352759154205 0.7987421383647799,3594.860484721922,0.0,3495,0 0 518 2682 13 2107 63,0.0 0.0 0.07224334600760456 0.10427650849443468 0.6 0.061371841155234655 0.9811320754716981,888.3048190575042,0.0,5039,0 0 480 2639 18 1998 59,0.0 0.0 0.0 0.10007810974419058 0.85 0.005157297576070139 0.9559748427672956,186.08565756271858,0.0,5363,0 0 494 2647 18 2009 55,0.0 0.0 0.026615969581749048 0.10085920718609646 0.85 0.010830324909747292 0.9308176100628931,453.05802386274735,0.0,5260
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-2nd/nsp-n40-d28-r0.10-rp2-fp2-s1,0 3 1295 14217 9 5414 -189,0.0 0.0 0.0 1.0 0.0 0.6589975349219392 0.0,1006.5899753492193,0.0,1639,0 34 1298 3984 38 4612 35,0.0 1.0 0.004451038575667656 0.0 0.58 0.0 0.8715953307392996,100103.38198108741,0.0,7670,1 30 1300 4084 18 4687 46,0.2 0.8709677419354839 0.00741839762611276 0.00977230528681716 0.18 0.06162695152013147 0.914396887159533,287200.2611414987,0.0,7208,1 19 1702 4485 59 5386 55,0.2 0.5161290322580645 0.6038575667655787 0.048959249486953973 1.0 0.6359901396877568 0.9494163424124513,257807.74746068846,0.0,6433,2 15 1717 4466 56 5459 60,0.4 0.3870967741935484 0.6261127596439169 0.04710251148245871 0.94 0.6959737058340181 0.9688715953307393,445119.83613593015,0.0,6228,5 19 1969 6943 45 5829 12,1.0 0.5161290322580645 1.0 0.2891625134369198 0.72 1.0 0.7821011673151751,1061984.8478404107,0.0,4971,1 21 1722 4469 56 5437 61,0.2 0.5806451612903226 0.6335311572700296 0.047395680641063226 0.94 0.6778964667214462 0.9727626459143969,264548.9751096867,0.0,6256,3 11 1758 4593 58 5497 68,0.6 0.25806451612903225 0.6869436201780416 0.0595133391967165 0.98 0.7271980279375514 1.0,632841.6731341598,0.0,6039,2 15 1718 4479 56 5462 61,0.4 0.3870967741935484 0.6275964391691394 0.048372911169744945 0.94 0.6984387838948234 0.9727626459143969,445135.97187270084,0.0,6216
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s4,0 3 799 3849 7 2846 37,0.0 0.5 0.38461538461538464 0.8993235177079189 0.0 0.9531531531531532 0.8641975308641975,54755.87309292416,0.0,9754,0 2 714 2396 7 2588 48,0.0 0.0 0.0 0.32113012335853564 0.0 0.4882882882882883 1.0,327.0130062414185,0.0,11184,0 4 808 4102 7 2872 39,0.0 1.0 0.4253393665158371 1.0 0.0 1.0 0.8888888888888888,105264.28255404725,0.0,9157,0 2 901 1879 105 2474 -21,0.0 0.0 0.8461538461538461 0.11539992041384799 0.5798816568047337 0.2828828828828829 0.14814814814814814,8637.90352460976,0.0,9182,0 2 715 1589 108 2317 -23,0.0 0.0 0.004524886877828055 0.0 0.5976331360946746 0.0 0.12345679012345678,105.13563917787147,0.0,10099,0 2 899 1875 105 2460 -23,0.0 0.0 0.8371040723981901 0.11380819737365698 0.5798816568047337 0.25765765765765763 0.12345679012345678,8545.537120402732,0.0,9236,0 2 769 1823 109 2391 -7,0.0 0.0 0.248868778280543 0.0931157978511739 0.6035502958579881 0.13333333333333333 0.32098765432098764,2643.812931230057,0.0,9652,0 2 778 1871 108 2354 1,0.0 0.0 0.2895927601809955 0.11221647433346597 0.5976331360946746 0.06666666666666667 0.41975308641975306,3068.9938095059747,0.0,9496,0 3 935 2112 176 2575 -33,0.0 0.5 1.0 0.20811778750497414 1.0 0.4648648648648649 0.0,60312.76643615362,0.0,8815
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-2nd/nsp-n10-d28-r0.10-rp0-fp0-s5,0 0 2 0 0 118 -42,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.0,6681,0 0 2 0 0 124 -28,0.0 0.0 0.0 0.0 0.0 0.5454545454545454 0.7368421052631579,6.191387559808612,0.0,6649,0 0 2 0 0 129 -38,0.0 0.0 0.0 0.0 0.0 1.0 0.21052631578947367,10.210526315789474,0.0,6656,0 0 2 0 0 129 -23,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.0,3957,0 0 2 0 0 129 -26,0.0 0.0 0.0 0.0 0.0 1.0 0.8421052631578947,10.842105263157894,0.0,3958,0 0 2 0 0 129 -23,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.0,3957,0 0 2 0 0 129 -26,0.0 0.0 0.0 0.0 0.0 1.0 0.8421052631578947,10.842105263157894,0.0,3958,0 0 2 0 0 129 -23,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.0,3957,0 0 2 0 0 129 -23,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.0,3957
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-2nd/nsp-n10-d28-r0.10-rp0-fp0-s0,0 1 0 6 0 194 -19,0.0 0.0 0.0 0.16 0.0 0.12698412698412698 0.26666666666666666,161.53650793650795,0.0,22460,0 1 0 10 0 201 -23,0.0 0.0 0.0 0.32 0.0 0.23809523809523808 0.0,322.3809523809524,0.0,22329,0 1 0 9 0 202 -18,0.0 0.0 0.0 0.28 0.0 0.25396825396825395 0.3333333333333333,282.87301587301585,0.0,22357,0 1 6 20 0 203 -17,0.0 0.0 0.46153846153846156 0.72 0.0 0.2698412698412698 0.4,5338.483028083028,0.0,17765,0 1 7 22 1 198 -20,0.0 0.0 0.5384615384615384 0.8 1.0 0.19047619047619047 0.2,6286.720146520147,0.0,17635,0 1 0 2 0 218 -16,0.0 0.0 0.0 0.0 0.0 0.5079365079365079 0.4666666666666667,5.546031746031746,0.0,18766,0 1 13 27 1 249 -12,0.0 0.0 1.0 1.0 1.0 1.0 0.7333333333333333,11110.733333333334,0.0,16928,0 1 1 22 0 190 -8,0.0 0.0 0.07692307692307693 0.8 0.0 0.06349206349206349 1.0,1570.86568986569,0.0,18193,0 1 0 13 0 186 -8,0.0 0.0 0.0 0.44 0.0 0.0 1.0,441.0,0.0,18334
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s9,0 313 1181 903 117 1418 67,0.0 0.9354838709677419 1.0 0.8679245283018868 0.7168141592920354 0.7316176470588235 0.8611111111111112,104496.17032858697,0.0,7900,6 310 968 943 126 1637 72,0.42857142857142855 0.8387096774193549 0.785929648241206 0.921832884097035 0.7964601769911505 1.0 1.0,521314.1716975722,0.0,6759,8 315 930 1001 149 1566 62,0.5714285714285714 1.0 0.7477386934673367 1.0 1.0 0.9129901960784313 0.7222222222222222,680015.8104874277,0.0,6681,13 290 191 272 37 857 50,0.9285714285714286 0.1935483870967742 0.005025125628140704 0.01752021563342318 0.008849557522123894 0.04411764705882353 0.3888888888888889,947995.7537741326,0.0,13016,14 284 186 260 37 828 41,1.0 0.0 0.0 0.0013477088948787063 0.008849557522123894 0.00857843137254902 0.1388888888888889,1000002.4573378497,0.0,12308,14 284 186 260 38 830 44,1.0 0.0 0.0 0.0013477088948787063 0.017699115044247787 0.011029411764705883 0.2222222222222222,1000003.4501367392,0.0,12281,14 285 186 267 37 821 39,1.0 0.03225806451612903 0.0 0.01078167115902965 0.008849557522123894 0.0 0.08333333333333333,1003237.5564118575,0.0,10894,14 284 186 267 37 828 45,1.0 0.0 0.0 0.01078167115902965 0.008849557522123894 0.00857843137254902 0.25,1000012.002411225,0.0,11971,14 284 186 259 36 831 36,1.0 0.0 0.0 0.0 0.0 0.012254901960784314 0.0,1000000.1225490196,0.0,12405
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-2nd/nsp-n20-d28-r0.10-rp2-fp2-s2,0 0 186 3814 5 1208 -3,0.0 0.0 1.0 1.0 0.0 1.0 0.0,11010.0,0.0,912,0 0 150 735 24 1036 22,0.0 0.0 0.16279069767441862 0.1536558548653106 1.0 0.6018518518518519 0.8620689655172413,1888.4434190935324,0.0,9057,0 0 149 692 23 1034 21,0.0 0.0 0.13953488372093023 0.14183617372182517 0.9473684210526315 0.5972222222222222 0.8275862068965517,1638.7216614655094,0.0,9283,0 0 144 200 5 785 14,0.0 0.0 0.023255813953488372 0.006597031335898846 0.0 0.020833333333333332 0.5862068965517241,239.9497111006676,0.0,9535,0 0 143 205 6 776 18,0.0 0.0 0.0 0.007971412864211104 0.05263157894736842 0.0 0.7241379310344828,13.958708689982428,0.0,9665,0 0 144 200 5 784 16,0.0 0.0 0.023255813953488372 0.006597031335898846 0.0 0.018518518518518517 0.6551724137931034,239.99552846976084,0.0,9540,0 0 143 208 7 786 26,0.0 0.0 0.0 0.008796041781198461 0.10526315789473684 0.023148148148148147 1.0,20.553839052153627,0.0,9603,0 0 148 206 5 807 22,0.0 0.0 0.11627906976744186 0.008246289169873557 0.0 0.07175925925925926 0.8620689655172413,1172.616648402402,0.0,9334,0 0 158 176 9 869 9,0.0 0.0 0.3488372093023256 0.0 0.21052631578947367 0.2152777777777778 0.41379310344827586,3511.991295483429,0.0,9027
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-2nd/nsp-n10-d28-r0.10-rp0-fp0-s4,0 1 25 129 33 422 -19,0.0 0.0 0.12 0.9629629629629629 0.1 0.0 0.4444444444444444,2173.4074074074074,0.0,21331,0 1 22 132 51 439 -17,0.0 0.0 0.0 1.0 1.0 0.06227106227106227 0.6666666666666666,1101.2893772893774,0.0,21571,0 1 22 125 42 440 -22,0.0 0.0 0.0 0.9135802469135802 0.55 0.06593406593406594 0.1111111111111111,969.350698684032,0.0,21692,0 1 42 53 44 600 -14,0.0 0.0 0.8 0.024691358024691357 0.65 0.652014652014652 1.0,8097.211504544838,0.0,28394,0 1 42 59 39 695 -14,0.0 0.0 0.8 0.09876543209876543 0.4 1.0 1.0,8149.765432098766,0.0,28174,0 1 47 86 49 587 -18,0.0 0.0 1.0 0.43209876543209874 0.9 0.6043956043956044 0.5555555555555556,10528.69827703161,0.0,27240,0 1 46 80 32 595 -23,0.0 0.0 0.96 0.35802469135802467 0.05 0.6336996336996337 0.0,9969.361687695022,0.0,27422,0 1 42 68 31 673 -17,0.0 0.0 0.8 0.20987654320987653 0.0 0.9194139194139194 0.6666666666666666,8219.737349070683,0.0,28029,0 1 42 51 44 588 -19,0.0 0.0 0.8 0.0 0.65 0.608058608058608 0.4444444444444444,8071.52503052503,0.0,28429
resolved-p14d-c14d-paper/resolved-p14d-c14d-3600-2nd/nsp-n20-d28-r0.10-rp2-fp2-s4,0 1 208 3605 2 1174 -35,0.0 0.0 0.125 1.0 0.125 0.9846153846153847 0.0,2272.346153846154,0.0,1654,0 1 230 1023 9 1071 67,0.0 0.0 0.675 0.18187579214195185 1.0 0.19230769230769232 0.9532710280373832,7034.752140093066,0.0,13756,0 1 230 1027 9 1070 72,0.0 0.0 0.675 0.18314321926489227 1.0 0.18461538461538463 1.0,7035.989373111046,0.0,13660,0 1 203 453 1 1060 37,0.0 0.0 0.0 0.0012674271229404308 0.0 0.1076923076923077 0.6728971962616822,3.01724739612519,0.0,18597,0 1 203 449 1 1050 38,0.0 0.0 0.0 0.0 0.0 0.03076923076923077 0.6822429906542056,0.9899352983465133,0.0,18870,0 1 203 452 1 1046 40,0.0 0.0 0.0 0.0009505703422053232 0.0 0.0 0.7009345794392523,1.6515049216445754,0.0,18696,0 1 203 476 1 1072 40,0.0 0.0 0.0 0.008555133079847909 0.0 0.2 0.7009345794392523,11.256067659287162,0.0,18475,0 1 243 974 1 1176 46,0.0 0.0 1.0 0.16634980988593157 0.0 1.0 0.7570093457943925,10177.106819231725,0.0,14681,0 1 205 533 3 1078 45,0.0 0.0 0.05 0.026615969581749048 0.25 0.24615384615384617 0.7476635514018691,554.8251715946893,0.0,17705
